"Date","Unique Sellers"
"2019-01-19",126
"2019-01-20",128
"2019-01-21",128
"2019-01-22",128
"2019-01-23",128
"2019-01-24",129
"2019-01-25",129
"2019-01-26",130
"2019-01-27",130
"2019-01-28",130
"2019-01-29",130
"2019-01-30",131
"2019-01-31",131
"2019-02-01",131
"2019-02-02",131
"2019-02-03",131
"2019-02-04",131
"2019-02-05",131
"2019-02-06",131
"2019-02-07",131
"2019-02-08",131
"2019-02-09",132
"2019-02-10",132
"2019-02-11",132
"2019-02-12",132
"2019-02-13",132
"2019-02-14",132
"2019-02-15",132
"2019-02-16",132
"2019-02-17",132
"2019-02-18",132
"2019-02-19",132
"2019-02-20",132
"2019-02-21",133
"2019-02-22",133
"2019-02-23",135
"2019-02-24",135
"2019-02-25",135
"2019-02-26",135
"2019-02-27",136
"2019-02-28",136
"2019-03-01",136
"2019-03-02",136
"2019-03-03",136
"2019-03-04",136
"2019-03-05",136
"2019-03-06",136
"2019-03-07",136
"2019-03-08",136
"2019-03-09",136
"2019-03-10",136
"2019-03-11",136
"2019-03-12",136
"2019-03-13",136
"2019-03-14",136
"2019-03-15",137
"2019-03-16",138
"2019-03-17",138
"2019-03-18",138
"2019-03-19",138
"2019-03-20",139
"2019-03-21",139
"2019-03-22",139
"2019-03-23",139
"2019-03-24",139
"2019-03-25",139
"2019-03-26",139
"2019-03-27",140
"2019-03-28",144
"2019-03-29",144
"2019-03-30",144
"2019-03-31",144
"2019-04-01",144
"2019-04-02",144
"2019-04-03",144
"2019-04-04",144
"2019-04-05",144
"2019-04-06",144
"2019-04-07",144
"2019-04-08",144
"2019-04-09",144
"2019-04-10",144
"2019-04-11",144
"2019-04-12",145
"2019-04-13",145
"2019-04-14",145
"2019-04-15",145
"2019-04-16",145
"2019-04-17",145
"2019-04-18",145
"2019-04-19",145
"2019-04-20",145
"2019-04-21",145
"2019-04-22",146
"2019-04-23",146
"2019-04-24",146
"2019-04-25",146
"2019-04-26",146
"2019-04-27",146
"2019-04-28",146
"2019-04-29",146
"2019-04-30",146
"2019-05-01",146
"2019-05-02",146
"2019-05-03",146
"2019-05-04",146
"2019-05-05",146
"2019-05-06",150
"2019-05-07",151
"2019-05-08",151
"2019-05-09",151
"2019-05-10",151
"2019-05-11",151
"2019-05-12",151
"2019-05-13",151
"2019-05-14",151
"2019-05-15",152
"2019-05-16",152
"2019-05-17",152
"2019-05-18",152
"2019-05-19",152
"2019-05-20",152
"2019-05-21",152
"2019-05-22",152
"2019-05-23",153
"2019-05-24",153
"2019-05-25",153
"2019-05-26",153
"2019-05-27",153
"2019-05-28",153
"2019-05-29",153
"2019-05-30",153
"2019-05-31",153
"2019-06-01",153
"2019-06-02",153
"2019-06-03",153
"2019-06-04",154
"2019-06-05",154
"2019-06-06",154
"2019-06-07",154
"2019-06-08",154
"2019-06-09",154
"2019-06-10",154
"2019-06-11",155
"2019-06-12",155
"2019-06-13",155
"2019-06-14",155
"2019-06-15",155
"2019-06-16",155
"2019-06-17",155
"2019-06-18",155
"2019-06-19",156
"2019-06-20",156
"2019-06-21",157
"2019-06-22",158
"2019-06-23",158
"2019-06-24",158
"2019-06-25",158
"2019-06-26",158
"2019-06-27",159
"2019-06-28",160
"2019-06-29",160
"2019-06-30",160
"2019-07-01",161
"2019-07-02",161
"2019-07-03",161
"2019-07-04",161
"2019-07-05",161
"2019-07-06",161
"2019-07-07",161
"2019-07-08",161
"2019-07-09",161
"2019-07-10",162
"2019-07-11",162
"2019-07-12",162
"2019-07-13",162
"2019-07-14",162
"2019-07-15",162
"2019-07-16",162
"2019-07-17",162
"2019-07-18",162
"2019-07-19",162
"2019-07-20",162
"2019-07-21",162
"2019-07-22",162
"2019-07-23",162
"2019-07-24",162
"2019-07-25",162
"2019-07-26",162
"2019-07-27",162
"2019-07-28",163
"2019-07-29",163
"2019-07-30",163
"2019-07-31",163
"2019-08-01",163
"2019-08-02",163
"2019-08-03",163
"2019-08-04",163
"2019-08-05",163
"2019-08-06",163
"2019-08-07",163
"2019-08-08",163
"2019-08-09",163
"2019-08-10",163
"2019-08-11",163
"2019-08-12",163
"2019-08-13",163
"2019-08-14",163
"2019-08-15",163
"2019-08-16",163
"2019-08-17",163
"2019-08-18",163
"2019-08-19",163
"2019-08-20",163
"2019-08-21",163
"2019-08-22",163
"2019-08-23",163
"2019-08-24",163
"2019-08-25",163
"2019-08-26",163
"2019-08-27",163
"2019-08-28",163
"2019-08-29",163
"2019-08-30",163
"2019-08-31",163
"2019-09-01",163
"2019-09-02",163
"2019-09-03",163
"2019-09-04",163
"2019-09-05",163
"2019-09-06",163
"2019-09-07",163
"2019-09-08",163
"2019-09-09",163
"2019-09-10",163
"2019-09-11",163
"2019-09-12",163
"2019-09-13",163
"2019-09-14",163
"2019-09-15",163
"2019-09-16",163
"2019-09-17",163
"2019-09-18",163
"2019-09-19",163
"2019-09-20",163
"2019-09-21",163
"2019-09-22",163
"2019-09-23",163
"2019-09-24",163
"2019-09-25",163
"2019-09-26",163
"2019-09-27",163
"2019-09-28",163
"2019-09-29",163
"2019-09-30",163
"2019-10-01",163
"2019-10-02",163
"2019-10-03",163
"2019-10-04",163
"2019-10-05",163
"2019-10-06",163
"2019-10-07",163
"2019-10-08",163
"2019-10-09",163
"2019-10-10",163
"2019-10-11",163
"2019-10-12",164
"2019-10-13",164
"2019-10-14",164
"2019-10-15",164
"2019-10-16",164
"2019-10-17",164
"2019-10-18",164
"2019-10-19",164
"2019-10-20",164
"2019-10-21",164
"2019-10-22",164
"2019-10-23",164
"2019-10-24",164
"2019-10-25",165
"2019-10-26",165
"2019-10-27",165
"2019-10-28",165
"2019-10-29",165
"2019-10-30",165
"2019-10-31",166
"2019-11-01",166
"2019-11-02",167
"2019-11-03",167
"2019-11-04",167
"2019-11-05",167
"2019-11-06",167
"2019-11-07",167
"2019-11-08",167
"2019-11-09",168
"2019-11-10",168
"2019-11-11",168
"2019-11-12",168
"2019-11-13",170
"2019-11-14",170
"2019-11-15",170
"2019-11-16",170
"2019-11-17",170
"2019-11-18",170
"2019-11-19",170
"2019-11-20",170
"2019-11-21",170
"2019-11-22",170
"2019-11-23",172
"2019-11-24",172
"2019-11-25",172
"2019-11-26",172
"2019-11-27",172
"2019-11-28",172
"2019-11-29",172
"2019-11-30",172
"2019-12-01",172
"2019-12-02",172
"2019-12-03",172
"2019-12-04",172
"2019-12-05",172
"2019-12-06",172
"2019-12-07",172
"2019-12-08",174
"2019-12-09",175
"2019-12-10",175
"2019-12-11",175
"2019-12-12",175
"2019-12-13",175
"2019-12-14",175
"2019-12-15",175
"2019-12-16",175
"2019-12-17",175
"2019-12-18",175
"2019-12-19",175
"2019-12-20",175
"2019-12-21",175
"2019-12-22",175
"2019-12-23",175
"2019-12-24",176
"2019-12-25",176
"2019-12-26",176
"2019-12-27",176
"2019-12-28",178
"2019-12-29",178
"2019-12-30",180
"2019-12-31",181
"2020-01-01",182
"2020-01-02",183
"2020-01-03",184
"2020-01-04",188
"2020-01-05",189
"2020-01-06",189
"2020-01-07",193
"2020-01-08",195
"2020-01-09",195
"2020-01-10",196
"2020-01-11",197
"2020-01-12",197
"2020-01-13",197
"2020-01-14",197
"2020-01-15",199
"2020-01-16",205
"2020-01-17",206
"2020-01-18",207
"2020-01-19",207
"2020-01-20",207
"2020-01-21",207
"2020-01-22",207
"2020-01-23",207
"2020-01-24",207
"2020-01-25",207
"2020-01-26",207
"2020-01-27",207
"2020-01-28",207
"2020-01-29",208
"2020-01-30",208
"2020-01-31",208
"2020-02-01",208
"2020-02-02",210
"2020-02-03",210
"2020-02-04",210
"2020-02-05",210
"2020-02-06",210
"2020-02-07",211
"2020-02-08",212
"2020-02-09",212
"2020-02-10",212
"2020-02-11",212
"2020-02-12",212
"2020-02-13",212
"2020-02-14",212
"2020-02-15",212
"2020-02-16",212
"2020-02-17",212
"2020-02-18",212
"2020-02-19",213
"2020-02-20",214
"2020-02-21",214
"2020-02-22",214
"2020-02-23",214
"2020-02-24",214
"2020-02-25",215
"2020-02-26",215
"2020-02-27",215
"2020-02-28",216
"2020-02-29",216
"2020-03-01",216
"2020-03-02",216
"2020-03-03",216
"2020-03-04",216
"2020-03-05",216
"2020-03-06",217
"2020-03-07",217
"2020-03-08",217
"2020-03-09",217
"2020-03-10",217
"2020-03-11",217
"2020-03-12",217
"2020-03-13",217
"2020-03-14",219
"2020-03-15",219
"2020-03-16",219
"2020-03-17",219
"2020-03-18",219
"2020-03-19",219
"2020-03-20",219
"2020-03-21",219
"2020-03-22",219
"2020-03-23",219
"2020-03-24",220
"2020-03-25",221
"2020-03-26",221
