"Date","Unique Buyers"
"2019-02-14",373
"2019-02-15",373
"2019-02-16",374
"2019-02-17",374
"2019-02-18",374
"2019-02-19",374
"2019-02-20",375
"2019-02-21",377
"2019-02-22",382
"2019-02-23",383
"2019-02-24",384
"2019-02-25",384
"2019-02-26",384
"2019-02-27",384
"2019-02-28",385
"2019-03-01",385
"2019-03-02",385
"2019-03-03",385
"2019-03-04",385
"2019-03-05",385
"2019-03-06",387
"2019-03-07",387
"2019-03-08",387
"2019-03-09",387
"2019-03-10",387
"2019-03-11",388
"2019-03-12",388
"2019-03-13",388
"2019-03-14",388
"2019-03-15",389
"2019-03-16",390
"2019-03-17",390
"2019-03-18",390
"2019-03-19",390
"2019-03-20",391
"2019-03-21",391
"2019-03-22",391
"2019-03-23",391
"2019-03-24",391
"2019-03-25",392
"2019-03-26",392
"2019-03-27",393
"2019-03-28",393
"2019-03-29",393
"2019-03-30",394
"2019-03-31",394
"2019-04-01",394
"2019-04-02",394
"2019-04-03",394
"2019-04-04",394
"2019-04-05",394
"2019-04-06",396
"2019-04-07",397
"2019-04-08",397
"2019-04-09",397
"2019-04-10",398
"2019-04-11",400
"2019-04-12",400
"2019-04-13",401
"2019-04-14",402
"2019-04-15",402
"2019-04-16",403
"2019-04-17",404
"2019-04-18",405
"2019-04-19",405
"2019-04-20",406
"2019-04-21",406
"2019-04-22",407
"2019-04-23",407
"2019-04-24",408
"2019-04-25",408
"2019-04-26",408
"2019-04-27",408
"2019-04-28",408
"2019-04-29",408
"2019-04-30",408
"2019-05-01",408
"2019-05-02",408
"2019-05-03",409
"2019-05-04",410
"2019-05-05",410
"2019-05-06",410
"2019-05-07",413
"2019-05-08",415
"2019-05-09",417
"2019-05-10",418
"2019-05-11",418
"2019-05-12",418
"2019-05-13",421
"2019-05-14",422
"2019-05-15",422
"2019-05-16",423
"2019-05-17",423
"2019-05-18",423
"2019-05-19",423
"2019-05-20",423
"2019-05-21",423
"2019-05-22",426
"2019-05-23",426
"2019-05-24",426
"2019-05-25",426
"2019-05-26",427
"2019-05-27",427
"2019-05-28",427
"2019-05-29",427
"2019-05-30",427
"2019-05-31",427
"2019-06-01",427
"2019-06-02",427
"2019-06-03",428
"2019-06-04",428
"2019-06-05",428
"2019-06-06",428
"2019-06-07",428
"2019-06-08",428
"2019-06-09",428
"2019-06-10",428
"2019-06-11",429
"2019-06-12",429
"2019-06-13",429
"2019-06-14",430
"2019-06-15",430
"2019-06-16",430
"2019-06-17",431
"2019-06-18",431
"2019-06-19",432
"2019-06-20",433
"2019-06-21",433
"2019-06-22",433
"2019-06-23",434
"2019-06-24",434
"2019-06-25",434
"2019-06-26",434
"2019-06-27",434
"2019-06-28",434
"2019-06-29",434
"2019-06-30",434
"2019-07-01",434
"2019-07-02",434
"2019-07-03",434
"2019-07-04",434
"2019-07-05",434
"2019-07-06",434
"2019-07-07",435
"2019-07-08",435
"2019-07-09",436
"2019-07-10",437
"2019-07-11",437
"2019-07-12",438
"2019-07-13",439
"2019-07-14",439
"2019-07-15",439
"2019-07-16",440
"2019-07-17",440
"2019-07-18",440
"2019-07-19",440
"2019-07-20",440
"2019-07-21",440
"2019-07-22",442
"2019-07-23",442
"2019-07-24",442
"2019-07-25",442
"2019-07-26",443
"2019-07-27",443
"2019-07-28",443
"2019-07-29",444
"2019-07-30",444
"2019-07-31",445
"2019-08-01",445
"2019-08-02",445
"2019-08-03",445
"2019-08-04",445
"2019-08-05",445
"2019-08-06",446
"2019-08-07",446
"2019-08-08",446
"2019-08-09",449
"2019-08-10",450
"2019-08-11",451
"2019-08-12",452
"2019-08-13",452
"2019-08-14",452
"2019-08-15",452
"2019-08-16",452
"2019-08-17",452
"2019-08-18",452
"2019-08-19",452
"2019-08-20",452
"2019-08-21",452
"2019-08-22",454
"2019-08-23",454
"2019-08-24",454
"2019-08-25",454
"2019-08-26",454
"2019-08-27",454
"2019-08-28",454
"2019-08-29",454
"2019-08-30",454
"2019-08-31",454
"2019-09-01",455
"2019-09-02",457
"2019-09-03",457
"2019-09-04",458
"2019-09-05",458
"2019-09-06",458
"2019-09-07",458
"2019-09-08",458
"2019-09-09",458
"2019-09-10",458
"2019-09-11",458
"2019-09-12",459
"2019-09-13",461
"2019-09-14",461
"2019-09-15",461
"2019-09-16",461
"2019-09-17",462
"2019-09-18",462
"2019-09-19",462
"2019-09-20",462
"2019-09-21",462
"2019-09-22",462
"2019-09-23",462
"2019-09-24",464
"2019-09-25",464
"2019-09-26",464
"2019-09-27",465
"2019-09-28",465
"2019-09-29",466
"2019-09-30",466
"2019-10-01",466
"2019-10-02",466
"2019-10-03",466
"2019-10-04",466
"2019-10-05",466
"2019-10-06",466
"2019-10-07",466
"2019-10-08",467
"2019-10-09",467
"2019-10-10",467
"2019-10-11",467
"2019-10-12",467
"2019-10-13",468
"2019-10-14",469
"2019-10-15",469
"2019-10-16",469
"2019-10-17",469
"2019-10-18",470
"2019-10-19",470
"2019-10-20",470
"2019-10-21",470
"2019-10-22",470
"2019-10-23",471
"2019-10-24",471
"2019-10-25",472
"2019-10-26",472
"2019-10-27",472
"2019-10-28",472
"2019-10-29",472
"2019-10-30",473
"2019-10-31",474
"2019-11-01",474
"2019-11-02",477
"2019-11-03",477
"2019-11-04",477
"2019-11-05",477
"2019-11-06",477
"2019-11-07",477
"2019-11-08",477
"2019-11-09",477
"2019-11-10",478
"2019-11-11",478
"2019-11-12",478
"2019-11-13",480
"2019-11-14",480
"2019-11-15",480
"2019-11-16",480
"2019-11-17",480
"2019-11-18",480
"2019-11-19",480
"2019-11-20",480
"2019-11-21",480
"2019-11-22",481
"2019-11-23",481
"2019-11-24",481
"2019-11-25",481
"2019-11-26",481
"2019-11-27",481
"2019-11-28",481
"2019-11-29",482
"2019-11-30",482
"2019-12-01",482
"2019-12-02",483
"2019-12-03",483
"2019-12-04",484
"2019-12-05",485
"2019-12-06",485
"2019-12-07",485
"2019-12-08",487
"2019-12-09",487
"2019-12-10",488
"2019-12-11",488
"2019-12-12",488
"2019-12-13",488
"2019-12-14",488
"2019-12-15",488
"2019-12-16",490
"2019-12-17",492
"2019-12-18",492
"2019-12-19",492
"2019-12-20",492
"2019-12-21",492
"2019-12-22",493
"2019-12-23",494
"2019-12-24",495
"2019-12-25",495
"2019-12-26",495
"2019-12-27",497
"2019-12-28",498
"2019-12-29",499
"2019-12-30",499
"2019-12-31",499
"2020-01-01",502
"2020-01-02",502
"2020-01-03",504
"2020-01-04",506
"2020-01-05",508
"2020-01-06",508
"2020-01-07",510
"2020-01-08",510
"2020-01-09",511
"2020-01-10",513
"2020-01-11",513
"2020-01-12",513
"2020-01-13",515
"2020-01-14",515
"2020-01-15",517
"2020-01-16",518
"2020-01-17",519
"2020-01-18",520
"2020-01-19",520
"2020-01-20",521
"2020-01-21",522
"2020-01-22",523
"2020-01-23",523
"2020-01-24",523
"2020-01-25",524
"2020-01-26",526
"2020-01-27",526
"2020-01-28",526
"2020-01-29",527
"2020-01-30",528
"2020-01-31",528
"2020-02-01",529
"2020-02-02",530
"2020-02-03",531
"2020-02-04",531
"2020-02-05",531
"2020-02-06",532
"2020-02-07",533
"2020-02-08",533
"2020-02-09",533
"2020-02-10",535
"2020-02-11",536
"2020-02-12",536
"2020-02-13",536
"2020-02-14",536
"2020-02-15",536
"2020-02-16",537
"2020-02-17",537
"2020-02-18",538
"2020-02-19",539
"2020-02-20",541
"2020-02-21",541
"2020-02-22",541
"2020-02-23",542
"2020-02-24",542
"2020-02-25",543
"2020-02-26",544
"2020-02-27",544
"2020-02-28",545
"2020-02-29",545
"2020-03-01",545
"2020-03-02",545
"2020-03-03",545
"2020-03-04",546
"2020-03-05",546
"2020-03-06",548
"2020-03-07",549
"2020-03-08",550
"2020-03-09",552
